time,Kyiv_33345,Boryspil_33347,Chornobyl_33231,Fastiv_33339,Byla_Tzerkva_33464,Baryshivka_33354,Yagotyn_33356,Myronivka_33466
2021-06-07 06:00:00,4.0,2.0,0.4,0.9,0.3,0.0,0.3,0.5
2021-06-07 18:00:00,0.0,0.3,1.0,4.0,1.0,3.0,0.0,3.0
2021-06-08 06:00:00,0.0,7.0,0.0,0.0,0.0,0.4,0.0,0.3
2021-06-08 18:00:00,0.0,0.0,0.0,9.0,0.5,0.0,4.0,0.4
2021-06-09 06:00:00,0.3,0.0,15.0,0.3,2.0,0.0,0.0,0.0
2021-06-09 18:00:00,0.1,16.0,0.1,14.0,1.0,2.0,13.0,0.0
2021-06-10 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
2021-06-10 18:00:00,0.6,0.0,2.0,0.3,0.0,3.0,9.0,13.0
2021-06-11 06:00:00,0.0,0.7,0.0,0.3,0.0,1.0,3.0,1.0
2021-06-11 18:00:00,0.0,0.0,0.0,3.0,0.1,0.0,9.0,4.0
2021-06-12 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-12 18:00:00,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
2021-06-13 06:00:00,0.6,1.0,0.0,0.0,0.0,0.3,0.0,0.0
2021-06-13 18:00:00,3.0,9.0,3.0,0.3,0.8,8.0,3.0,35.0
2021-06-14 06:00:00,2.0,0.0,0.0,6.0,6.0,1.0,0.0,2.0
2021-06-14 18:00:00,0.0,1.0,0.0,9.0,6.0,9.0,3.0,2.0
2021-06-15 06:00:00,0.0,0.0,3.0,0.4,0.0,0.0,0.0,0.0
2021-06-15 18:00:00,1.0,0.6,3.0,0.0,0.0,0.3,0.0,0.0
2021-06-16 06:00:00,0.0,0.0,0.7,2.0,0.0,12.0,2.0,3.0
2021-06-16 18:00:00,0.0,0.0,0.0,0.0,0.0,9.0,2.0,9.0
2021-06-17 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
